Instellingscode|Vestigingsnummer|Gemeentenaam volgens RIO|Gemeentecode per 1 januari 2025|Gemeentenaam per 1 januari 2025
04CS|01|'S-GRAVENHAGE|0518|'s-Gravenhage
04YD|00|VENLO|0983|Venlo
05LE|00|EDE|0228|Ede
06AW|00|ENSCHEDE|0153|Enschede
06BW|00|BOLSWARD|1900|Súdwest-Fryslân
06FC|00|SITTARD|1883|Sittard-Geleen
06HB|00|VENLO|0983|Venlo
07GR|00|BREDA|0758|Breda
07GR|01|ETTEN-LEUR|0777|Etten-Leur
07GR|03|BREDA|0758|Breda
07GR|04|TILBURG|0855|Tilburg
07GR|05|EINDHOVEN|0772|Eindhoven
07GR|06|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
07GR|07|ROOSENDAAL|1674|Roosendaal
08HG|00|HAARLEM|0392|Haarlem
08OK|00|HELMOND|0794|Helmond
08QI|00|NIJMEGEN|0268|Nijmegen
08QJ|00|LEIDEN|0546|Leiden
08YJ|00|HENGELO (O)|0164|Hengelo
09ON|00|ZWOLLE|0193|Zwolle
09OR|00|UTRECHT|0344|Utrecht
09OT|00|DOETINCHEM|0222|Doetinchem
10CD|00|HENGELO|0164|Hengelo
10IZ|00|UTRECHT|0344|Utrecht
10IZ|01|ZWOLLE|0193|Zwolle
10IZ|02|HELMOND|0794|Helmond
10IZ|03|ALKMAAR|0361|Alkmaar
10IZ|04|AMSTERDAM|0363|Amsterdam
10JI|00|VEGHEL|1948|Meierijstad
10KK|00|EINDHOVEN|0772|Eindhoven
10KK|01|VEGHEL|1948|Meierijstad
10KO|00|AMSTERDAM|0363|Amsterdam
10SQ|00|LEEUWARDEN|0080|Leeuwarden
10TX|00|HENGELO|0164|Hengelo
11AE|00|MAASTRICHT|0935|Maastricht
14NI|00|ROTTERDAM|0599|Rotterdam
14NK|00|TILBURG|0855|Tilburg
14RM|00|AMSTERDAM|0363|Amsterdam
14SB|00|ARNHEM|0202|Arnhem
14SK|00|'S-GRAVENHAGE|0518|'s-Gravenhage
14TP|00|TILBURG|0855|Tilburg
14UL|00|EINDHOVEN|0772|Eindhoven
14ZF|00|ARNHEM|0202|Arnhem
15BK|00|GOUDA|0513|Gouda
15BN|00|'S-GRAVENHAGE|0518|'s-Gravenhage
15CL|00|EINDHOVEN|0772|Eindhoven
15CL|01|TILBURG|0855|Tilburg
15CL|02|AMSTERDAM|0363|Amsterdam
15CL|03|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
15CL|04|UTRECHT|0344|Utrecht
15CL|05|HELMOND|0794|Helmond
15CL|06|BREDA|0758|Breda
15CW|00|ASSEN|0106|Assen
15DJ|00|SITTARD|1883|Sittard-Geleen
16OL|00|ROTTERDAM|0599|Rotterdam
16UT|00|HEERLEN|0917|Heerlen
16UX|00|AMSTERDAM|0363|Amsterdam
16YR|00|ROTTERDAM|0599|Rotterdam
17HW|00|TILBURG|0855|Tilburg
17VW|00|TILBURG|0855|Tilburg
17XA|00|ROERMOND|0957|Roermond
17XA|01|SITTARD-GELEEN|1883|Sittard-Geleen
17XA|02|VENLO|0983|Venlo
18EX|00|MAASTRICHT|0935|Maastricht
18EZ|00|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
19AU|00|EMMEN|0114|Emmen
19AY|00|DORDRECHT|0505|Dordrecht
19DB|00|HENGELO|0164|Hengelo
19HP|00|ROTTERDAM|0599|Rotterdam
19UL|00|MEPPEL|0119|Meppel
20ID|00|ROTTERDAM|0599|Rotterdam
20OV|00|DEN HELDER|0400|Den Helder
20PA|00|MAASTRICHT|0935|Maastricht
20PR|00|ENSCHEDE|0153|Enschede
21BI|00|MAASTRICHT|0935|Maastricht
21CW|00|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
21CW|01|VENLO|0983|Venlo
21HO|00|MAASTRICHT|0935|Maastricht
21HP|00|'S-GRAVENHAGE|0518|'s-Gravenhage
21HR|00|AMSTERDAM|0363|Amsterdam
21IY|00|EMMEN|0114|Emmen
21IY|01|ASSEN|0106|Assen
21IY|02|MEPPEL|0119|Meppel
21IY|03|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
21JA|00|ARNHEM|0202|Arnhem
21JA|05|ENSCHEDE|0153|Enschede
21JE|00|TILBURG|0855|Tilburg
21LA|00|ENSCHEDE|0153|Enschede
21MI|00|VLISSINGEN|0718|Vlissingen
21MI|02|TERNEUZEN|0715|Terneuzen
21MI|03|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
21MI|04|MIDDELBURG|0687|Middelburg
21MI|05|ROOSENDAAL|1674|Roosendaal
21MN|00|ALPHEN AAN DEN RIJN|0484|Alphen aan den Rijn
21PB|00|LEIDEN|0546|Leiden
21PB|12|'S-GRAVENHAGE|0518|'s-Gravenhage
21PC|00|GRONINGEN|0014|Groningen
21PC|11|LEEUWARDEN|0080|Leeuwarden
21PC|12|AMSTERDAM|0363|Amsterdam
21PC|13|BAARN|0308|Baarn
21PD|00|UTRECHT|0344|Utrecht
21PD|01|MIDDELBURG|0687|Middelburg
21PE|00|ROTTERDAM|0599|Rotterdam
21PE|01|'S-GRAVENHAGE|0518|'s-Gravenhage
21PF|00|DELFT|0503|Delft
21PF|01|'S-GRAVENHAGE|0518|'s-Gravenhage
21PF|02|AMSTERDAM|0363|Amsterdam
21PF|03|WAGENINGEN|0289|Wageningen
21PG|00|EINDHOVEN|0772|Eindhoven
21PG|02|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
21PH|00|ENSCHEDE|0153|Enschede
21PH|01|LEEUWARDEN|0080|Leeuwarden
21PH|02|AMSTERDAM|0363|Amsterdam
21PI|00|WAGENINGEN|0289|Wageningen
21PI|01|LEEUWARDEN|0080|Leeuwarden
21PI|02|BREDA|0758|Breda
21PI|03|AMSTERDAM|0363|Amsterdam
21PI|04|DELFT|0503|Delft
21PJ|00|MAASTRICHT|0935|Maastricht
21PJ|01|GRONINGEN|0014|Groningen
21PJ|02|UTRECHT|0344|Utrecht
21PJ|03|VENLO|0983|Venlo
21PJ|04|SITTARD-GELEEN|1883|Sittard-Geleen
21PK|00|AMSTERDAM|0363|Amsterdam
21PK|02|AMSTERDAM|0363|Amsterdam
21PK|03|ALMERE|0034|Almere
21PK|04|HOORN|0405|Hoorn
21PK|10|'S-GRAVENHAGE|0518|'s-Gravenhage
21PL|00|AMSTERDAM|0363|Amsterdam
