Opleidingscode|ISCEDF2013-detailgroep|ISCEDF2013-detailgroep omschrijving|ISCEDF2013-rubriek|ISCEDF2013-rubriek omschrijving
66960|0711|scheikundige technologie en procestechniek|071104|chemische technologie
66962|0533|natuurkunde|053301|natuurkunde
66964|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
66965|0541|wiskunde|054101|wiskunde
66973|0721|levensmiddelentechnologie|072101|levensmiddelen algemeen
66978|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
66980|0541|wiskunde|054101|wiskunde
66981|0619|informatica overig|061901|kunstmatige intelligentie en kennistechnologie
66982|0500|wiskunde, natuurwetenschappen z.n.d.|050000|wiskunde, natuurwetenschappen z.n.d.
66984|0533|natuurkunde|053303|materiaalkunde
66986|0532|aardwetenschappen|053201|geologie, fysische geografie
66988|0521|milieu|052101|milieukunde
66989|0916|farmacie|091601|farmacie
66990|0512|biochemie|051202|biomedische wetenschappen
66991|0511|biologie|051102|moleculaire wetenschappen
66994|0413|management bedrijfs- en personeelswetenschappen|041308|bedrijfstechniek, technische bedrijfsvoering
66995|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
67084|0223|filosofie en ethiek|022301|filosofie
67085|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
67086|0114|lerarenopleiding algemene en beroepsgerichte vakken|011400|lerarenopleiding algemene en beroepsgerichte vakken z.n.d.
67087|0311|economie en econometrie|031101|economie
67088|0619|informatica overig|061901|kunstmatige intelligentie en kennistechnologie
68000|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
68001|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
68003|0114|lerarenopleiding algemene en beroepsgerichte vakken|011406|klassieke talen
68004|0114|lerarenopleiding algemene en beroepsgerichte vakken|011401|nederlands
68006|0114|lerarenopleiding algemene en beroepsgerichte vakken|011404|frans
68007|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
68008|0114|lerarenopleiding algemene en beroepsgerichte vakken|011405|spaans
68009|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
68010|0114|lerarenopleiding algemene en beroepsgerichte vakken|011403|duits
68011|0114|lerarenopleiding algemene en beroepsgerichte vakken|011402|engels
68014|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
68017|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
68034|0114|lerarenopleiding algemene en beroepsgerichte vakken|011408|geschiedenis
68040|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
68041|0114|lerarenopleiding algemene en beroepsgerichte vakken|011406|klassieke talen
68074|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
68075|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
68076|0114|lerarenopleiding algemene en beroepsgerichte vakken|011417|informatica
68081|0114|lerarenopleiding algemene en beroepsgerichte vakken|011431|overige vakken
68151|0114|lerarenopleiding algemene en beroepsgerichte vakken|011416|wiskunde
68155|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
68156|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
68161|0114|lerarenopleiding algemene en beroepsgerichte vakken|011419|biologie
68176|0114|lerarenopleiding algemene en beroepsgerichte vakken|011410|aardrijkskunde
68401|0114|lerarenopleiding algemene en beroepsgerichte vakken|011422|economie
68403|0114|lerarenopleiding algemene en beroepsgerichte vakken|011423|bedrijfseconomie
68404|0114|lerarenopleiding algemene en beroepsgerichte vakken|011431|overige vakken
68500|0114|lerarenopleiding algemene en beroepsgerichte vakken|011410|aardrijkskunde
68501|0114|lerarenopleiding algemene en beroepsgerichte vakken|011422|economie
68502|0114|lerarenopleiding algemene en beroepsgerichte vakken|011419|biologie
68503|0114|lerarenopleiding algemene en beroepsgerichte vakken|011403|duits
68504|0114|lerarenopleiding algemene en beroepsgerichte vakken|011402|engels
68505|0114|lerarenopleiding algemene en beroepsgerichte vakken|011431|overige vakken
68506|0114|lerarenopleiding algemene en beroepsgerichte vakken|011408|geschiedenis
68507|0114|lerarenopleiding algemene en beroepsgerichte vakken|011409|godsdienst
68508|0114|lerarenopleiding algemene en beroepsgerichte vakken|011408|geschiedenis
68509|0114|lerarenopleiding algemene en beroepsgerichte vakken|011411|maatschappijleer
68510|0114|lerarenopleiding algemene en beroepsgerichte vakken|011414|muziek
68511|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
68512|0114|lerarenopleiding algemene en beroepsgerichte vakken|011401|nederlands
68513|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
68514|0114|lerarenopleiding algemene en beroepsgerichte vakken|011405|spaans
68515|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
68516|0114|lerarenopleiding algemene en beroepsgerichte vakken|011416|wiskunde
68517|0114|lerarenopleiding algemene en beroepsgerichte vakken|011404|frans
68518|0114|lerarenopleiding algemene en beroepsgerichte vakken|011423|bedrijfseconomie
68519|0114|lerarenopleiding algemene en beroepsgerichte vakken|011406|klassieke talen
68520|0114|lerarenopleiding algemene en beroepsgerichte vakken|011406|klassieke talen
68521|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
68522|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
68523|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
68524|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
68527|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
68528|0114|lerarenopleiding algemene en beroepsgerichte vakken|011407|overige talen
68529|0114|lerarenopleiding algemene en beroepsgerichte vakken|011431|overige vakken
68530|0114|lerarenopleiding algemene en beroepsgerichte vakken|011400|lerarenopleiding algemene en beroepsgerichte vakken z.n.d.
68531|0114|lerarenopleiding algemene en beroepsgerichte vakken|011400|lerarenopleiding algemene en beroepsgerichte vakken z.n.d.
68532|0114|lerarenopleiding algemene en beroepsgerichte vakken|011400|lerarenopleiding algemene en beroepsgerichte vakken z.n.d.
68533|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
68534|0114|lerarenopleiding algemene en beroepsgerichte vakken|011400|lerarenopleiding algemene en beroepsgerichte vakken z.n.d.
68535|0114|lerarenopleiding algemene en beroepsgerichte vakken|011400|lerarenopleiding algemene en beroepsgerichte vakken z.n.d.
68536|0114|lerarenopleiding algemene en beroepsgerichte vakken|011400|lerarenopleiding algemene en beroepsgerichte vakken z.n.d.
68538|0114|lerarenopleiding algemene en beroepsgerichte vakken|011400|lerarenopleiding algemene en beroepsgerichte vakken z.n.d.
68618|0114|lerarenopleiding algemene en beroepsgerichte vakken|011411|maatschappijleer
68710|0114|lerarenopleiding algemene en beroepsgerichte vakken|011408|geschiedenis
68713|0511|biologie|051101|biologie
69298|0712|milieubescherming en milieutechnologie|071201|milieutechnologie
69299|0712|milieubescherming en milieutechnologie|071201|milieutechnologie
69300|0811|landbouw en veeteelt|081101|land(akker)bouw algemeen
69301|0713|elektro- en energietechniek|071303|installatietechniek (elektro) algemeen
69302|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
69303|0314|sociologie en culturele wetenschappen|031403|cultuurwetenschappen
69304|0512|biochemie|051202|biomedische wetenschappen
69305|0313|psychologie|031301|psychologie
69312|0915|therapie en revalidatie|091502|arbeids-, ergotherapie
69313|0411|financieel management en belastingen|041101|financieel management en administratie
69314|0312|politicologie en maatschappijwetenschappen|031201|politicologie
69315|0712|milieubescherming en milieutechnologie|071202|milieumanagement
69317|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
69319|0712|milieubescherming en milieutechnologie|071202|milieumanagement
69320|0413|management bedrijfs- en personeelswetenschappen|041308|bedrijfstechniek, technische bedrijfsvoering
69321|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
69323|1031|krijgsmacht|103101|krijgsmacht algemeen
69324|0313|psychologie|031301|psychologie
69331|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
69333|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
69342|0223|filosofie en ethiek|022301|filosofie
69343|0512|biochemie|051202|biomedische wetenschappen
69344|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
69345|0114|lerarenopleiding algemene en beroepsgerichte vakken|011418|natuur-, scheikunde
70015|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70016|0321|journalistiek|032102|communicatiewetenschappen
70018|1022|veiligheid op het werk en ergonomie|102201|arbeidskunde
70020|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70021|0411|financieel management en belastingen|041101|financieel management en administratie
70022|1041|transport en logistiek|104101|(transport en) logistiek algemeen
70023|0913|verpleeg- en verloskunde|091301|verpleging
70024|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70025|1022|veiligheid op het werk en ergonomie|102201|arbeidskunde
70026|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
70027|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70028|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70029|1013|horeca|101301|horeca algemeen
70030|1015|toerisme en vrijetijdsbesteding|101501|toerisme
70031|0416|groothandel en detailhandel|041602|detailhandel
70032|1013|horeca|101301|horeca algemeen
70033|0732|bouwkunde en civiele techniek|073209|bouwmanagement, aanneming, werkvoorbereiding
70034|0714|elektronica en industriële automatisering|071403|industriële procesautomatisering
70035|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
70036|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70037|0913|verpleeg- en verloskunde|091301|verpleging
70038|0222|geschiedenis, archeologie|022203|museologie
70039|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70040|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70041|0411|financieel management en belastingen|041101|financieel management en administratie
70042|0413|management bedrijfs- en personeelswetenschappen|041304|organisatiekunde, kwaliteitszorg
70043|0532|aardwetenschappen|053201|geologie, fysische geografie
70044|0114|lerarenopleiding algemene en beroepsgerichte vakken|011413|beeldende kunst, expressie, vormgeving
70045|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70046|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70047|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
70048|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
70049|0512|biochemie|051202|biomedische wetenschappen
70050|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
70051|0710|techniek en technische dienstverlening z.n.d.|071000|techniek en technische dienstverlening z.n.d.
70052|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
70053|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70054|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70055|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70056|0521|milieu|052101|milieukunde
70057|0314|sociologie en culturele wetenschappen|031405|ontwikkelingskunde (regio)
70058|1041|transport en logistiek|104101|(transport en) logistiek algemeen
70059|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70060|0411|financieel management en belastingen|041101|financieel management en administratie
70061|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70062|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
70063|0413|management bedrijfs- en personeelswetenschappen|041304|organisatiekunde, kwaliteitszorg
70064|0714|elektronica en industriële automatisering|071404|scheepsradio-, tele- en datacommunicatie
70065|0313|psychologie|031302|psychotherapie
70066|1041|transport en logistiek|104101|(transport en) logistiek algemeen
70067|1015|toerisme en vrijetijdsbesteding|101501|toerisme
70068|1041|transport en logistiek|104101|(transport en) logistiek algemeen
70069|1032|openbare orde en veiligheid|103202|politie
70070|1032|openbare orde en veiligheid|103202|politie
70071|1031|krijgsmacht|103101|krijgsmacht algemeen
70072|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70073|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70074|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
70075|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70076|1011|huishoudkunde, facilitaire dienstverlening en reiniging|101102|facilitaire dienstverlening
70077|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70078|0413|management bedrijfs- en personeelswetenschappen|041304|organisatiekunde, kwaliteitszorg
70079|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
70080|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
70081|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
70082|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70083|1014|sport|101401|sport en bewegen algemeen
70084|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
70085|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70086|0731|architectuur en stedebouwkunde|073101|planologie
70087|0411|financieel management en belastingen|041103|belastingen
70088|0321|journalistiek|032102|communicatiewetenschappen
70089|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70090|0421|recht|042104|juridisch bestuurlijk
70091|0321|journalistiek|032101|journalistiek
70092|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70093|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70094|0412|financiële dienstverlening|041202|verzekeringswezen
70095|0211|audiovisuele techniek en mediaproductie|021102|grafisch ontwerpen
70096|0715|werktuigbouwkunde en metaalbewerking|071501|werktuigbouwkunde algemeen
70097|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70098|0411|financieel management en belastingen|041101|financieel management en administratie
70099|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70100|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70101|0411|financieel management en belastingen|041101|financieel management en administratie
70102|0313|psychologie|031303|creatieve therapie
70103|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70104|0716|voertuigtechniek, scheepsbouw- en vliegtuigbouwkunde|071602|auto-, motorfietstechniek
70105|0215|muziek en theater|021501|muziek
70106|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
70107|0215|muziek en theater|021502|theater
70108|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70109|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70110|0913|verpleeg- en verloskunde|091301|verpleging
70111|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70112|0212|mode-, interieur- en industriële vormgeving|021203|binnenhuisarchitectuur
70113|0111|onderwijskunde|011101|onderwijskunde
70114|0411|financieel management en belastingen|041101|financieel management en administratie
70115|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70116|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
70117|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70118|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
70119|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
70120|0522|natuurbeheer|052201|natuurbehoud, -bescherming
70121|0731|architectuur en stedebouwkunde|073101|planologie
70122|0521|milieu|052101|milieukunde
70123|0719|techniek en technische dienstverlening overig|071901|technische industriele vormgeving
70124|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70125|0313|psychologie|031303|creatieve therapie
70126|0215|muziek en theater|021501|muziek
70127|1014|sport|101401|sport en bewegen algemeen
70128|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
70129|0211|audiovisuele techniek en mediaproductie|021103|multimediadesign en mediatechnologie
70130|0321|journalistiek|032102|communicatiewetenschappen
70131|0221|theologie, levensbeschouwing|022101|theologie
70132|0111|onderwijskunde|011101|onderwijskunde
70133|1015|toerisme en vrijetijdsbesteding|101501|toerisme
70134|1013|horeca|101301|horeca algemeen
70135|0412|financiële dienstverlening|041203|sociale zekerheid
70136|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70137|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
70138|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70139|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70140|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
70141|0414|marketing en public relations|041401|marketing, commerciele economie
70142|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70143|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70144|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
70145|0114|lerarenopleiding algemene en beroepsgerichte vakken|011431|overige vakken
70146|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70147|0413|management bedrijfs- en personeelswetenschappen|041305|bedrijfseconomie
70148|0714|elektronica en industriële automatisering|071403|industriële procesautomatisering
70149|1032|openbare orde en veiligheid|103201|beveiliging algemeen
70150|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70151|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70152|0221|theologie, levensbeschouwing|022101|theologie
70153|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
70154|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
70155|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
70156|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70157|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
70158|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
70159|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
70160|0914|medische diagnostiek en medische technologie|091407|radiologie, beeldvormende technieken
70161|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
70162|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
70163|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70164|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70165|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
70166|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
70167|0512|biochemie|051202|biomedische wetenschappen
70168|0114|lerarenopleiding algemene en beroepsgerichte vakken|011426|medisch, paramedisch
70169|1022|veiligheid op het werk en ergonomie|102201|arbeidskunde
70170|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70171|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70172|0414|marketing en public relations|041401|marketing, commerciele economie
70173|0421|recht|042104|juridisch bestuurlijk
70174|0732|bouwkunde en civiele techniek|073203|bouw
70175|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70176|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70177|1013|horeca|101301|horeca algemeen
70178|0711|scheikundige technologie en procestechniek|071106|petrochemie, polymeertechniek
70179|0731|architectuur en stedebouwkunde|073101|planologie
70180|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70181|1041|transport en logistiek|104105|scheepvaart
70182|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
70183|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70184|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
70185|1014|sport|101401|sport en bewegen algemeen
70186|0111|onderwijskunde|011101|onderwijskunde
70187|0111|onderwijskunde|011101|onderwijskunde
70188|1041|transport en logistiek|104101|(transport en) logistiek algemeen
70189|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70190|0414|marketing en public relations|041401|marketing, commerciele economie
70191|0723|textiel-, kleding-, schoenen-, en leervervaardiging|072304|textiel-, leerverwerking overig
70192|0313|psychologie|031303|creatieve therapie
70193|0313|psychologie|031301|psychologie
70194|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
70195|0421|recht|042101|nederlands, algemeen recht, rechterlijke macht
70196|0721|levensmiddelentechnologie|072103|zuivel
70197|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70198|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70199|0413|management bedrijfs- en personeelswetenschappen|041308|bedrijfstechniek, technische bedrijfsvoering
70200|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70201|0414|marketing en public relations|041401|marketing, commerciele economie
70202|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
70203|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70204|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70205|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70206|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70207|1032|openbare orde en veiligheid|103201|beveiliging algemeen
70208|0113|lerarenopleiding basisonderwijs, speciaal onderwijs en basiseducatie|011301|lerarenopleiding basisonderwijs
70210|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70211|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70212|0111|onderwijskunde|011101|onderwijskunde
70213|1041|transport en logistiek|104101|(transport en) logistiek algemeen
70214|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70215|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70216|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
70217|0111|onderwijskunde|011101|onderwijskunde
70218|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70219|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
70220|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
70221|0111|onderwijskunde|011101|onderwijskunde
70222|0612|ontwerp en beheer van database en netwerken|061203|informatiebeveiliging
70223|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
70224|1013|horeca|101301|horeca algemeen
70229|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
70234|0410|bedrijfskunde en administratie z.n.d.|041000|bedrijfskunde en administratie z.n.d.
75000|0412|financiële dienstverlening|041202|verzekeringswezen
75006|0421|recht|042104|juridisch bestuurlijk
75007|0521|milieu|052101|milieukunde
75008|0732|bouwkunde en civiele techniek|073209|bouwmanagement, aanneming, werkvoorbereiding
75009|0732|bouwkunde en civiele techniek|073208|installatietechniek (bouwkunde)
75010|0732|bouwkunde en civiele techniek|073201|weg- en waterbouw
75011|0314|sociologie en culturele wetenschappen|031405|ontwikkelingskunde (regio)
75012|0314|sociologie en culturele wetenschappen|031405|ontwikkelingskunde (regio)
75013|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
75014|0532|aardwetenschappen|053201|geologie, fysische geografie
75015|0231|vreemde talen z.n.d.|023105|Spaans
75016|0412|financiële dienstverlening|041201|geld- en bankzaken
75017|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
75018|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
75019|0411|financieel management en belastingen|041101|financieel management en administratie
75020|0421|recht|042102|internationaal recht
75021|0421|recht|042102|internationaal recht
75022|0312|politicologie en maatschappijwetenschappen|031201|politicologie
75023|0411|financieel management en belastingen|041101|financieel management en administratie
75024|0421|recht|042102|internationaal recht
75025|0421|recht|042102|internationaal recht
75026|0421|recht|042105|fiscaal recht
75027|0421|recht|042102|internationaal recht
75028|0923|maatschappelijk werk en beroepskeuzewerk|092303|sociaal-maatschappelijke dienstverlening
75029|0314|sociologie en culturele wetenschappen|031402|sociologie
75030|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
75031|0421|recht|042102|internationaal recht
75032|0421|recht|042105|fiscaal recht
75033|0421|recht|042102|internationaal recht
75034|0421|recht|042102|internationaal recht
75035|0421|recht|042102|internationaal recht
75036|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
75037|0114|lerarenopleiding algemene en beroepsgerichte vakken|011426|medisch, paramedisch
75038|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
75039|0712|milieubescherming en milieutechnologie|071202|milieumanagement
75040|0532|aardwetenschappen|053201|geologie, fysische geografie
75041|0313|psychologie|031301|psychologie
75042|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
75043|1041|transport en logistiek|104101|(transport en) logistiek algemeen
75044|0421|recht|042105|fiscaal recht
75045|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
75046|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
75047|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
75048|0411|financieel management en belastingen|041101|financieel management en administratie
75049|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
75050|1013|horeca|101301|horeca algemeen
75051|0413|management bedrijfs- en personeelswetenschappen|041304|organisatiekunde, kwaliteitszorg
75052|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
75053|0223|filosofie en ethiek|022301|filosofie
75054|0910|gezondheidszorg|091000|gezondheidszorg z.n.d.
75055|0411|financieel management en belastingen|041101|financieel management en administratie
75056|0421|recht|042102|internationaal recht
75057|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
75058|0421|recht|042102|internationaal recht
75059|0912|geneeskunde|091201|(huis)arts, specialist, geneeskunde
75060|0731|architectuur en stedebouwkunde|073103|bouwkundige architectuur, stedenbouw
75061|0411|financieel management en belastingen|041101|financieel management en administratie
75062|0841|diergeneeskunde en -verzorging|084101|diergeneeskunde en -verzorging
75063|0612|ontwerp en beheer van database en netwerken|061204|informatiemanagement
75064|0421|recht|042102|internationaal recht
75065|0421|recht|042102|internationaal recht
75066|0314|sociologie en culturele wetenschappen|031405|ontwikkelingskunde (regio)
75067|0913|verpleeg- en verloskunde|091303|verloskunde
75068|0412|financiële dienstverlening|041201|geld- en bankzaken
75069|0915|therapie en revalidatie|091501|fysiotherapie, bewegingswetenschappen
75070|0111|onderwijskunde|011103|pedagogisch-didactische vaardigheden
75071|0912|geneeskunde|091201|(huis)arts, specialist, geneeskunde
75072|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
75073|0412|financiële dienstverlening|041201|geld- en bankzaken
75074|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
75075|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
75076|0919|gezondheidszorg overig|091901|gezondheidszorg overig
75077|0321|journalistiek|032101|journalistiek
75078|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
